Unnamed: 0,Unnamed: 1,Neuro Drain #1 Type,verify,Unnamed: 4,223926.0,Neuro Drain #1 Type.1,Unnamed: 7,Unnamed: 8,0.0,Neurological,Unnamed: 11,Unnamed: 12,Unnamed: 13,metavision,Unnamed: 15,Text,Unnamed: 17
Oxygen saturation,Pulse oximetry,SpO2,ready,,220277.0,O2 saturation pulseoxymetry,%,chartevents,2671816.0,Respiratory,,,,metavision,,Numeric,
Systolic blood pressure,Systolic blood pressure (arterial),ABPs,ready,,51.0,Arterial BP [Systolic],,chartevents,2099353.0,,,,,carevue,,,
Diastolic blood pressure,Diastolic blood pressure (arterial),ABPd,ready,,8368.0,Arterial BP [Diastolic],,chartevents,2088638.0,,,,,carevue,,,
Mean blood pressure,Mean blood pressure (arterial),ABPm,ready,,52.0,Arterial BP Mean,,chartevents,2075364.0,,,,,carevue,,,
Oxygen saturation,Oxygen saturation,SaO2,ready,,834.0,SaO2,,chartevents,1716730.0,ABG's,,,,carevue,,,
Respiratory rate,Respiratory rate,RR,ready,,3603.0,Resp Rate,,chartevents,1676914.0,,,,,carevue,,,
Systolic blood pressure,Systolic blood pressure (noninvasive),NBPs,ready,,455.0,NBP [Systolic],,chartevents,1586769.0,,,,,carevue,,,
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,8441.0,NBP [Diastolic],,chartevents,1580652.0,,,,,carevue,,,
Mean blood pressure,Mean blood pressure (noninvasive),NBPm,ready,,456.0,NBP Mean,,chartevents,1560440.0,,,,,carevue,,,
Mean blood pressure,Mean blood pressure (noninvasive),NBPm,ready,,220181.0,Non Invasive Blood Pressure mean,mmHg,chartevents,1292916.0,Routine Vital Signs,,,,metavision,,Numeric,
Systolic blood pressure,Systolic blood pressure (noninvasive),NBPs,ready,,220179.0,Non Invasive Blood Pressure systolic,mmHg,chartevents,1290488.0,Routine Vital Signs,,,,metavision,,Numeric,
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,220180.0,Non Invasive Blood Pressure diastolic,mmHg,chartevents,1289885.0,Routine Vital Signs,,,,metavision,,Numeric,
Mean blood pressure,Mean blood pressure (arterial),ABPm,ready,,220052.0,Arterial Blood Pressure mean,mmHg,chartevents,1156173.0,Routine Vital Signs,,,,metavision,,Numeric,
Systolic blood pressure,Systolic blood pressure (arterial),ABPs,ready,,220050.0,Arterial Blood Pressure systolic,mmHg,chartevents,1149788.0,Routine Vital Signs,,,,metavision,,Numeric,
Diastolic blood pressure,Diastolic blood pressure (arterial),ABPd,ready,,220051.0,Arterial Blood Pressure diastolic,mmHg,chartevents,1149537.0,Routine Vital Signs,,,,metavision,,Numeric,
Glascow coma scale eye opening,Glascow coma scale eye opening,GCS eye,ready,should we just add these up?,184.0,Eye Opening,,chartevents,956672.0,,,,,carevue,,,
Glascow coma scale verbal response,Glascow coma scale verbal response,GCS verbal,ready,should we just add these up?,723.0,Verbal Response,,chartevents,954700.0,,,,,carevue,,,
Glascow coma scale motor response,Glascow coma scale motor response,GCS motor,ready,should we just add these up?,454.0,Motor Response,,chartevents,952565.0,,,,,carevue,,,
Glascow coma scale total,Glascow coma scale total,GCS total,ready,,198.0,GCS Total,,chartevents,948148.0,,,,,carevue,,,
Temperature,Temperature (F),,ready,requires unit conversion or checking,678.0,Temperature F,,chartevents,775928.0,,,,,carevue,,,
Temperature,Temperature (C),,ready,requires unit conversion or checking,677.0,Temperature C (calc),,chartevents,774312.0,,,,,carevue,,,
Glucose,Glucose,,ready,,50931.0,GLUCOSE,,labevents,748981.0,CHEMISTRY,,BLOOD,2345-01-07 00:00:00,,,,
Fraction inspired oxygen,Fraction inspired oxygen,FiO2,ready,requires unit conversion or checking,3420.0,FIO2,,chartevents,673729.0,,,,,carevue,,,
Glascow coma scale eye opening,Glascow coma scale eye opening,GCS eye,ready,should we just add these up?,220739.0,GCS - Eye Opening,,chartevents,571383.0,Neurological,,,,metavision,,Text,
Glascow coma scale verbal response,Glascow coma scale verbal response,GCS verbal,ready,should we just add these up?,223900.0,GCS - Verbal Response,,chartevents,569810.0,Neurological,,,,metavision,,Text,
Glascow coma scale motor response,Glascow coma scale motor response,GCS motor,ready,should we just add these up?,223901.0,GCS - Motor Response,,chartevents,569369.0,Neurological,,,,metavision,,Text,
Fraction inspired oxygen,Fraction inspired oxygen,FiO2,ready,requires unit conversion or checking,223835.0,Inspired O2 Fraction,None,chartevents,558061.0,Respiratory,,,,metavision,,Numeric,
Temperature,"Temperature (C, skin)",,ready,requires unit conversion or checking,3655.0,Temp Skin [C],,chartevents,533002.0,,,,,carevue,,,
pH,pH,,ready,,50820.0,PH,,labevents,530795.0,BLOOD GAS,,BLOOD,11558-4,,,,
Temperature,Temperature (F),,ready,requires unit conversion or checking,223761.0,Temperature Fahrenheit,?F,chartevents,522143.0,Routine Vital Signs,,,,metavision,,Numeric,
Respiratory rate,Respiratory rate (spontaneous),RR (spontaneous),ready,,224689.0,Respiratory Rate (spontaneous),insp/min,chartevents,452937.0,Respiratory,,,,metavision,,Numeric,
Capillary refill rate,Capillary refill rate,CRR,ready,,3348.0,Capillary Refill,,chartevents,440467.0,,,,,carevue,,Binary,
Glucose,Glucose,,ready,,807.0,Fingerstick Glucose,,chartevents,436622.0,Chemistry,,,,carevue,,,
Weight,"Weight (kg, present)",,ready,requires unit conversion or checking,3580.0,Present Weight  (kg),,chartevents,433011.0,,,,,carevue,,,
Weight,"Weight (lb, present)",,ready,requires unit conversion or checking,3581.0,Present Weight  (lb),,chartevents,433005.0,,,,,carevue,,,
Weight,"Weight (oz, present)",,ready,requires unit conversion or checking,3582.0,Present Weight  (oz),,chartevents,433004.0,,,,,carevue,,,
Respiratory rate,Respiratory rate (total),RR (total),ready,,615.0,Resp Rate (Total),,chartevents,417512.0,,,,,carevue,,,
Respiratory rate,Respiratory rate (total),RR (total),ready,,224690.0,Respiratory Rate (Total),insp/min,chartevents,399752.0,Respiratory,,,,metavision,,Numeric,
Glucose,Glucose,,ready,,811.0,Glucose (70-105),,chartevents,381822.0,Chemistry,,,,carevue,,,
Temperature,Temperature (C),,ready,requires unit conversion or checking,676.0,Temperature C,,chartevents,379232.0,,,,,carevue,,,
Temperature,Temperature (F),,ready,requires unit conversion or checking,679.0,Temperature F (calc),,chartevents,376716.0,,,,,carevue,,,
Glucose,Glucose,,ready,,1529.0,Glucose,,chartevents,286600.0,Chemistry,,,,carevue,,,
pH,pH (arterial),,ready,,780.0,Arterial pH,,chartevents,284506.0,ABG,,,,carevue,,,
pH,pH (arterial),,ready,,1126.0,Art.pH,,chartevents,267317.0,ABG,,,,carevue,,,
Glucose,Glucose (finger stick),,ready,,225664.0,Glucose finger stick,None,chartevents,247833.0,Labs,,,,metavision,,Numeric,
Fraction inspired oxygen,Fraction inspired oxygen,FiO2,ready,requires unit conversion or checking,3422.0,FIO2 [Meas],,chartevents,242256.0,,,,,carevue,,,
Respiratory rate,Respiratory rate (spontaneous),RR (spontaneous),ready,,614.0,Resp Rate (Spont),,chartevents,237416.0,,,,,carevue,,,
Glucose,Glucose,,ready,,50809.0,GLUCOSE,,labevents,196734.0,BLOOD GAS,,BLOOD,2339-0,,,,
Oxygen saturation,Oxygen saturation,SaO2,ready,,50817.0,OXYGEN SATURATION,,labevents,173419.0,BLOOD GAS,,BLOOD,20564-1,,,,
Glucose,Glucose (serum),,ready,,220621.0,Glucose (serum),None,chartevents,155071.0,Labs,,,,metavision,,Numeric,
Systolic blood pressure,Systolic blood pressure (noninvasive),NBPs,ready,,3313.0,BP Cuff [Systolic],,chartevents,148105.0,,,,,carevue,,,
Mean blood pressure,Mean blood pressure (noninvasive),NBPm,ready,,3312.0,BP Cuff [Mean],,chartevents,148028.0,,,,,carevue,,,
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,8502.0,BP Cuff [Diastolic],,chartevents,147419.0,,,,,carevue,,,
pH,pH (arterial),,ready,,223830.0,PH (Arterial),None,chartevents,144429.0,Labs,,,,metavision,,Numeric,
pH,pH,,ready,,51491.0,PH,,labevents,116089.0,HEMATOLOGY,,URINE,5803-01-02 00:00:00,,,,
Glucose,Glucose,,ready,,51478.0,GLUCOSE,,labevents,101279.0,HEMATOLOGY,,URINE,5792-01-07 00:00:00,,,,
Mean blood pressure,Mean blood pressure (arterial),ABPm,ready,,225312.0,ART BP mean,mmHg,chartevents,87182.0,Routine Vital Signs,,,,metavision,,Numeric,
Systolic blood pressure,Systolic blood pressure (arterial),ABPs,ready,,225309.0,ART BP Systolic,mmHg,chartevents,86557.0,Routine Vital Signs,,,,metavision,,Numeric,
Diastolic blood pressure,Diastolic blood pressure (arterial),ABPd,ready,,225310.0,ART BP Diastolic,mmHg,chartevents,86507.0,Routine Vital Signs,,,,metavision,,Numeric,
Temperature,Temperature (C),,ready,requires unit conversion or checking,223762.0,Temperature Celsius,?C,chartevents,74144.0,Routine Vital Signs,,,,metavision,,Numeric,
Glucose,Glucose (whole blood),,ready,,226537.0,Glucose (whole blood),None,chartevents,71057.0,Labs,,,,metavision,,Numeric,
Weight,Weight (daily),,ready,requires unit conversion or checking,763.0,Daily Weight,,chartevents,47979.0,,,,,carevue,,,
Weight,Weight (daily),,ready,requires unit conversion or checking,224639.0,Daily Weight,kg,chartevents,46452.0,General,,,,metavision,,Numeric,
Weight,"Weight (lbs, admission)",Admission Weight (lbs.),ready,requires unit conversion or checking,226531.0,Admission Weight (lbs.),None,chartevents,46255.0,General,,,,metavision,,Numeric,
Oxygen saturation,Oxygen saturation (arterial),SaO2,ready,,220227.0,Arterial O2 Saturation,%,chartevents,40009.0,Labs,,,,metavision,,Numeric,
Respiratory rate,Respiratory rate (spontaneous),RR (spontaneous),ready,,651.0,Spon RR (Mech.),,chartevents,31764.0,,,,,carevue,,,
Mean blood pressure,Mean blood pressure (arterial),ABPm,ready,,224.0,IABP Mean,,chartevents,30020.0,,,,,carevue,,,
Weight,"Weight (kg, admission)",Admission Weight (Kg),ready,requires unit conversion or checking,226512.0,Admission Weight (Kg),kg,chartevents,22604.0,General,,,,metavision,,Numeric,
Systolic blood pressure,Systolic blood pressure (arterial),ABPs,ready,,6701.0,Arterial BP #2 [Systolic],,chartevents,19232.0,,,,,carevue,,,
Mean blood pressure,Mean blood pressure (arterial),ABPm,ready,,6702.0,Arterial BP Mean #2,,chartevents,18946.0,,,,,carevue,,,
Diastolic blood pressure,Diastolic blood pressure (arterial),ABPd,ready,,8555.0,Arterial BP #2 [Diastolic],,chartevents,18820.0,,,,,carevue,,,
Capillary refill rate,Capillary refill rate,CRR,ready,,115.0,Capillary Refill [Right],,chartevents,18631.0,,,,,carevue,,Binary,
Capillary refill rate,Capillary refill rate,CRR,ready,,8377.0,Capillary Refill [Left],,chartevents,17172.0,,,,,carevue,,Binary,
Respiratory rate,Respiratory rate (spontaneous),RR (spontaneous),ready,,224422.0,Spont RR,bpm,chartevents,16463.0,Respiratory,,,,metavision,,Numeric,
Temperature,"Temperature (F, rectal)",,ready,requires unit conversion or checking,3654.0,Temp Rectal [F],,chartevents,13061.0,,,,,carevue,,,
Height,Height,Height,ready,requires unit conversion or checking,226707.0,Height,Inch,chartevents,12015.0,General,,,,metavision,,Numeric,
Height,Height (cm),Height (cm),ready,requires unit conversion or checking,226730.0,Height (cm),cm,chartevents,12015.0,General,,,,metavision,,Numeric,
pH,pH (venous),,ready,,860.0,Venous pH,,chartevents,11166.0,VBG's,,,,carevue,,,
pH,pH (arterial),,ready,,4753.0,pH (Art),,chartevents,10407.0,ABG,,,,carevue,,,
pH,pH (venous),,ready,,220274.0,PH (Venous),None,chartevents,8764.0,Labs,,,,metavision,,Numeric,
Mean blood pressure,Mean blood pressure (arterial),ABPm,ready,,224322.0,IABP Mean,mmHg,chartevents,8448.0,IABP,,,,metavision,,Numeric,
pH,pH,,ready,,3839.0,ph (other),,chartevents,8403.0,Other ABGs,,,,carevue,,,
pH,pH (capillary),,ready,,4202.0,pH (cap),,chartevents,8064.0,Other ABGs,,,,carevue,,,
Fraction inspired oxygen,Fraction inspired oxygen,FiO2,ready,requires unit conversion or checking,189.0,FiO2 (Analyzed),,chartevents,7644.0,,,,,carevue,,,
Systolic blood pressure,Systolic blood pressure (noninvasive),NBPs,ready,,3315.0,BP Left Arm [Systolic],,chartevents,3762.0,,,,,carevue,,,
Mean blood pressure,Mean blood pressure (noninvasive),NBPm,ready,,3314.0,BP Left Arm [Mean],,chartevents,3746.0,,,,,carevue,,,
Glucose,Glucose,,ready,,3745.0,BloodGlucose,,chartevents,2655.0,Quick Admit,,,,carevue,,,
Systolic blood pressure,Systolic blood pressure (noninvasive),NBPs,ready,,442.0,Manual BP [Systolic],,chartevents,2565.0,,,,,carevue,,,
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,8440.0,Manual BP [Diastolic],,chartevents,2152.0,,,,,carevue,,,
Systolic blood pressure,Systolic blood pressure (noninvasive),NBPs,ready,,3317.0,BP Left Leg [Systolic],,chartevents,2052.0,,,,,carevue,,,
Mean blood pressure,Mean blood pressure (noninvasive),NBPm,ready,,3316.0,BP Left Leg [Mean],,chartevents,2047.0,,,,,carevue,,,
Systolic blood pressure,Systolic blood pressure (noninvasive),NBPs,ready,,3323.0,BP Right Leg [Systolic],,chartevents,2039.0,,,,,carevue,,,
Mean blood pressure,Mean blood pressure (noninvasive),NBPm,ready,,3322.0,BP Right Leg [Mean],,chartevents,2032.0,,,,,carevue,,,
Systolic blood pressure,Systolic blood pressure (noninvasive),NBPs,ready,,3321.0,BP Right Arm [Systolic],,chartevents,2032.0,,,,,carevue,,,
Mean blood pressure,Mean blood pressure (noninvasive),NBPm,ready,,3320.0,BP Right Arm [Mean],,chartevents,2015.0,,,,,carevue,,,
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,8503.0,BP Left Arm [Diastolic],,chartevents,1921.0,,,,,carevue,,,
pH,pH,,ready,,1673.0,PH,,chartevents,1845.0,,,,,carevue,,,
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,8504.0,BP Left Leg [Diastolic],,chartevents,1530.0,,,,,carevue,,,
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,8507.0,BP Right Leg [Diastolic],,chartevents,1520.0,,,,,carevue,,,
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,8506.0,BP Right Arm [Diastolic],,chartevents,1514.0,,,,,carevue,,,
pH,pH,,ready,,50831.0,PH,,labevents,1442.0,BLOOD GAS,,OTHER BODY FLUID,2748-01-02 00:00:00,,,,
Oxygen saturation,Oxygen saturation,SaO2,ready,,8498.0,O2 sat [Post],,chartevents,1434.0,,,,,carevue,,,
pH,pH,,ready,,51094.0,PH,,labevents,1157.0,CHEMISTRY,,URINE,2756-01-05 00:00:00,,,,
Weight,Weight (kg),,ready,requires unit conversion or checking,3693.0,Weight Kg,,chartevents,994.0,,,,,carevue,,,
Systolic blood pressure,Systolic blood pressure (noninvasive),NBPs,ready,,224167.0,Manual Blood Pressure Systolic Left,mmHg,chartevents,740.0,Routine Vital Signs,,,,metavision,,Numeric,
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,224643.0,Manual Blood Pressure Diastolic Left,mmHg,chartevents,671.0,Routine Vital Signs,,,,metavision,,Numeric,
Fraction inspired oxygen,Fraction inspired oxygen,FiO2,ready,requires unit conversion or checking,727.0,Vision FiO2,,chartevents,544.0,,,,,carevue,,,
Systolic blood pressure,Systolic blood pressure (noninvasive),NBPs,ready,,227243.0,Manual Blood Pressure Systolic Right,mmHg,chartevents,541.0,Routine Vital Signs,,,,metavision,,Numeric,
Height,Height (in),Height (in),ready,requires unit conversion or checking,1394.0,Height Inches,,chartevents,26.0,,,,,carevue,,,
LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,DBSOURCE,,PARAM_TYPE,NOTE
Urine output,Urine output (foley),,verify,,40055.0,Urine Out Foley,,outputevents,1917527.0,,,,,carevue,,,
Urine output,Urine output (foley),,verify,,226559.0,Foley,mL,outputevents,1186717.0,Output,,,,metavision,,Numeric,
Hematocrit,Hematocrit,HCT,verify,,51221.0,HEMATOCRIT,,labevents,881846.0,HEMATOLOGY,,BLOOD,4544-01-03 00:00:00,,,,
Potassium,Potassium,K,verify,,50971.0,POTASSIUM,,labevents,845825.0,CHEMISTRY,,BLOOD,2823-01-03 00:00:00,,,,
Sodium,Sodium,Na,verify,,50983.0,SODIUM,,labevents,808489.0,CHEMISTRY,,BLOOD,2951-01-02 00:00:00,,,,
Creatinine,Creatinine,,verify,,50912.0,CREATININE,,labevents,797476.0,CHEMISTRY,,BLOOD,2160-0,,,,
Chloride,Chloride,,verify,,50902.0,CHLORIDE,,labevents,795568.0,CHEMISTRY,,BLOOD,2075-0,,,,
Blood urea nitrogen,Blood urea nitrogen,BUN,verify,,51006.0,UREA NITROGEN,,labevents,791925.0,CHEMISTRY,,BLOOD,3094-0,,,,
Bicarbonate,Bicarbonate,HCO3,verify,,50882.0,BICARBONATE,,labevents,780733.0,CHEMISTRY,,BLOOD,1963-01-08 00:00:00,,,,
Platelets,Platelets,Platelet count,verify,,51265.0,PLATELET COUNT,,labevents,778444.0,HEMATOLOGY,,BLOOD,777-3,,,,
Anion gap,Anion gap,,verify,,50868.0,ANION GAP,,labevents,769895.0,CHEMISTRY,,BLOOD,1863-0,,,,
White blood cell count,White blood cell count,WBC,verify,,51301.0,WHITE BLOOD CELLS,,labevents,753301.0,HEMATOLOGY,,BLOOD,804-5,,,,
Hemoglobin,Hemoglobin,,verify,,51222.0,HEMOGLOBIN,,labevents,752523.0,HEMATOLOGY,,BLOOD,718-7,,,,
Mean corpuscular hemoglobin concentration,Mean corpuscular hemoglobin concentration,MCHC,verify,,51249.0,MCHC,,labevents,748226.0,HEMATOLOGY,,BLOOD,786-4,,,,
Red blood cell count,Red blood cell count,RBC,verify,,51279.0,RED BLOOD CELLS,,labevents,748078.0,HEMATOLOGY,,BLOOD,789-8,,,,
Mean corpuscular hemoglobin,Mean corpuscular hemoglobin,MCH,verify,,51248.0,MCH,,labevents,748073.0,HEMATOLOGY,,BLOOD,785-6,,,,
Mean corpuscular volume,Mean corpuscular volume,MCV,verify,,51250.0,MCV,,labevents,748056.0,HEMATOLOGY,,BLOOD,787-2,,,,
Urine Color,Urine Color,,verify,,706.0,Urine [Color],,chartevents,729261.0,,,,,carevue,,,
Urine Appearance,Urine Appearance,,verify,,8480.0,Urine [Appearance],,chartevents,720710.0,,,,,carevue,,,
Magnesium,Magnesium,Mg,verify,,50960.0,MAGNESIUM,,labevents,664191.0,CHEMISTRY,,BLOOD,2601-01-03 00:00:00,,,,
Calcium,Calcium (total),Total Calcium,verify,,50893.0,"CALCIUM, TOTAL",,labevents,591999.0,CHEMISTRY,,BLOOD,2000-01-08 00:00:00,,,,
Phosphate,Phosphate,,verify,,50970.0,PHOSPHATE,,labevents,590568.0,CHEMISTRY,,BLOOD,2777-01-01 00:00:00,,,,
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",,verify,,50804.0,CALCULATED TOTAL CO2,,labevents,490685.0,BLOOD GAS,,BLOOD,1959-01-06 00:00:00,,,,
Partial pressure of carbon dioxide,Partial pressure of carbon dioxide,PaCO2,verify,,50818.0,PCO2,,labevents,490638.0,BLOOD GAS,,BLOOD,11557-6,,,,
Partial thromboplastin time,Partial thromboplastin time,PTT,verify,,51275.0,PTT,,labevents,474937.0,HEMATOLOGY,,BLOOD,3173-01-02 00:00:00,,,,
Prothrombin time,Prothrombin time,PT / INR,verify,,51237.0,INR(PT),,labevents,471183.0,HEMATOLOGY,,BLOOD,5895-01-07 00:00:00,,,,
Prothrombin time,Prothrombin time,PT / INR,verify,,51274.0,PT,,labevents,469090.0,HEMATOLOGY,,BLOOD,5902-01-02 00:00:00,,,,
Pupillary size right,Pupillary size right,,verify,,585.0,Pupil Size [Right],,chartevents,455089.0,,,,,carevue,,,
Pupillary response right,Pupillary response right,,verify,,584.0,Pupil Response [Right],,chartevents,449255.0,,,,,carevue,,,
Pupillary size left,Pupillary size left,,verify,,8467.0,Pupil Size [Left],,chartevents,447035.0,,,,,carevue,,,
Pupillary response left,Pupillary response left,,verify,,8466.0,Pupil Response [Left],,chartevents,442215.0,,,,,carevue,,,
Positive end-expiratory pressure,Positive end-expiratory pressure,PEEP,verify,,505.0,PEEP,,chartevents,352331.0,,,,,carevue,,,
Potassium,Potassium,K,verify,,829.0,Potassium (3.5-5.3),,chartevents,326961.0,Chemistry,,,,carevue,,,
Partial pressure of carbon dioxide,Partial pressure of carbon dioxide (arterial),PaCO2 (arterial),verify,,778.0,Arterial PaCO2,,chartevents,283616.0,ABG,,,,carevue,,,
Partial pressure of oxygen,Partial pressure of oxygen,PaO2,verify,,779.0,Arterial PaO2,,chartevents,283452.0,ABG,,,,carevue,,,
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",,verify,,777.0,Arterial CO2(Calc),,chartevents,280017.0,ABG,,,,carevue,,,
Hematocrit,Hematocrit,HCT,verify,,813.0,Hematocrit,,chartevents,275105.0,Hematology,,,,carevue,,,
Calcium,Calcium,,verify,,50808.0,FREE CALCIUM,,labevents,249111.0,BLOOD GAS,,BLOOD,1994-01-03 00:00:00,,,,
Potassium,Potassium,K,verify,,1535.0,Potassium,,chartevents,247638.0,Chemistry,,,,carevue,,,
Bilirubin,Bilirubin (total),Total bilirubin,verify,,50885.0,"BILIRUBIN, TOTAL",,labevents,238277.0,CHEMISTRY,,BLOOD,1975-01-02 00:00:00,,,,
Sodium,Sodium,Na,verify,,837.0,Sodium (135-148),,chartevents,222389.0,Chemistry,,,,carevue,,,
Alanine aminotransferase,Alanine aminotransferase,ALT,verify,,50861.0,ALANINE AMINOTRANSFERASE (ALT),,labevents,219475.0,CHEMISTRY,,BLOOD,6/1/1742,,,,
Asparate aminotransferase,Asparate aminotransferase,AST,verify,,50878.0,ASPARATE AMINOTRANSFERASE (AST),,labevents,219465.0,CHEMISTRY,,BLOOD,1920-01-08 00:00:00,,,,
Alkaline phosphate,Alkaline phosphate,ALP,verify,,50863.0,ALKALINE PHOSPHATASE,,labevents,207860.0,CHEMISTRY,,BLOOD,6768-01-06 00:00:00,,,,
Magnesium,Magnesium,Mg,verify,,821.0,Magnesium (1.6-2.6),,chartevents,198212.0,Chemistry,,,,carevue,,,
Creatinine,Creatinine,,verify,,791.0,Creatinine (0-1.3),,chartevents,196677.0,Chemistry,,,,carevue,,,
Blood urea nitrogen,Blood urea nitrogen,BUN,verify,,781.0,BUN (6-20),,chartevents,195714.0,Chemistry,,,,carevue,,,
Chloride,Chloride,,verify,,788.0,Chloride (100-112),,chartevents,194344.0,Chemistry,,,,carevue,,,
Potassium,Potassium (whole blood),K (whole blood),verify,,50822.0,"POTASSIUM, WHOLE BLOOD",,labevents,192946.0,BLOOD GAS,,BLOOD,6298-01-04 00:00:00,,,,
Platelets,Platelets,Platelet count,verify,,828.0,Platelets,,chartevents,189535.0,Hematology,,,,carevue,,,
Hemoglobin,Hemoglobin,,verify,,814.0,Hemoglobin,,chartevents,188568.0,Hematology,,,,carevue,,,
Lactate,Lactate,,verify,,50813.0,LACTATE,,labevents,187124.0,BLOOD GAS,,BLOOD,32693-4,,,,
White blood cell count,White blood cell count,WBC,verify,,861.0,"WBC (4-11,000)",,chartevents,178460.0,Hematology,,,,carevue,,,
Red blood cell count,Red blood cell count,RBC,verify,,833.0,RBC,,chartevents,176496.0,Hematology,,,,carevue,,,
Sodium,Sodium,Na,verify,,1536.0,Sodium,,chartevents,172697.0,Chemistry,,,,carevue,,,
Lymphocytes,Lymphocytes,,verify,,51244.0,LYMPHOCYTES,,labevents,172149.0,HEMATOLOGY,,BLOOD,731-0,,,,
Neutrophils,Neutrophils,,verify,,51256.0,NEUTROPHILS,,labevents,172149.0,HEMATOLOGY,,BLOOD,761-7,,,,
Monocytes,Monocytes,,verify,,51254.0,MONOCYTES,,labevents,172148.0,HEMATOLOGY,,BLOOD,742-7,,,,
Basophils,Basophils,,verify,,51146.0,BASOPHILS,,labevents,172142.0,HEMATOLOGY,,BLOOD,704-7,,,,
White blood cell count,White blood cell count,WBC,verify,,1127.0,"WBC   (4-11,000)",,chartevents,169818.0,Hematology,,,,carevue,,,
Hematocrit,Hematocrit (serum),HCT (serum),verify,,220545.0,Hematocrit (serum),None,chartevents,165862.0,Labs,,,,metavision,,Numeric,
Potassium,Potassium (serum),K (serum),verify,,227442.0,Potassium (serum),None,chartevents,165813.0,Labs,,,,metavision,,Numeric with tag,
Sodium,Sodium (serum),Na (serum),verify,,220645.0,Sodium (serum),None,chartevents,162677.0,Labs,,,,metavision,,Numeric,
Chloride,Chloride (serum),,verify,,220602.0,Chloride (serum),None,chartevents,160843.0,Labs,,,,metavision,,Numeric,
Calcium,Calcium,,verify,,786.0,Calcium (8.4-10.2),,chartevents,158078.0,Chemistry,,,,carevue,,,
